CPU Overall Power Consumption,GPU Power,FPS
130.842,346.273,118
129.962,346.442,115
127.336,346.614,118
126.627,347.844,136
125.224,347.572,136
126.271,346.929,128
129.888,346.41,122
125.723,348.05,131
126.169,347.796,129
124.577,347.22,130
125.576,348.348,128
126.686,347.371,118
128.641,347.831,112
129.324,348.514,102
129.556,347.166,104
128.648,348.365,104
129.552,348.18,96
130.967,347.99,102
131.194,348.617,97
132.667,347.022,110
132.266,347.124,114
128.409,348.006,125
126.063,347.089,121
129.806,345.347,107
129.352,347.598,99
129.399,345.943,102
130.013,345.207,102
126.068,346.256,111
125.71,343.493,107
132.984,347.635,94
132.631,347.867,97
131.648,347.882,97
128.837,348.431,108
127.325,347.4,110
126.317,348.416,131
124.981,348.424,125
122.851,347.468,125
123.705,344.318,115
125.967,347.435,119
124.341,347.83,116
123.299,347.967,115
126.656,348.21,114
131.977,346.603,116
134.676,346.698,113
135.799,347.774,105
134.401,348.504,108
130.221,346.93,112
128.362,347.17,112
130.404,346.741,124
129.302,344.442,123
130.899,345.287,121
138.946,348.154,124
129.343,349.17,145
125.056,348.36,137
125.338,346.977,135
130.679,347.609,117
130.161,345.638,116
128.159,348.24,124
127.655,345.211,138
125.455,348.494,132
126.496,347.78,135
126.073,347.3,131
128.406,347.484,121
124.787,347.857,129
125.737,347.347,125
129.445,344.189,125
130.452,345.238,122
129.088,348.095,126
129.113,347.778,125
126.851,345.934,137
123.654,348.419,139
122.75,348.092,141
129.818,345.627,116
130.5,347.227,122
130.233,347.177,135
130.02,347.618,136
131.555,346.293,122
135.982,347.031,114
133.93,346.403,117
132.62,346.972,117
136.346,345.932,111
136.177,347.331,118
126.198,347.688,137
125.584,348.165,146
124.405,348.528,143
123.923,347.521,150
130.632,347.02,129
133.28,346.357,130
132.169,345.93,129
135.249,348.007,113
136.074,344.807,120
136.161,345.238,116
137.559,344.103,116
136.145,347.216,116
136.211,344.727,119
136.088,344.427,122
133.062,348.48,121
131.269,344.08,122
133.115,345.939,124
131.331,345.329,124
131.325,344.026,124
130.393,344.125,128
128.785,345.344,128
130.437,347.222,126
130.546,348.38,125
130.226,346.46,128
132.055,345.897,125
139.591,345.787,127
134.182,343.245,134
128.71,345.724,132
130.488,346.515,134
128.016,346.613,132
133.93,347.461,133
127.842,347.312,136
127.83,348.245,134
132.744,344.035,127
126.704,347.507,138
130.805,344.658,126
130.856,347.7,134
126.465,346.643,138
124.708,347.909,141
124.061,346.396,144
123.305,344.21,139
123.59,344.897,141
122.173,347.129,139
121.373,348.584,137
121.222,345.638,138
121.063,346.347,137
120.785,345.12,136
120.994,347.191,137
122.364,348.218,146
124.187,347.714,151
124.399,344.569,146
137.185,341.57,110
134.136,347.234,132
134.132,344.311,119
135.42,340.028,114
129.608,348.515,136
129.426,346.092,137
128.62,346.63,137
128.441,345.651,130
129.142,344.118,140
140.047,347.159,125
142.916,309.387,97
131.239,340.436,129
127.605,345.505,136
128.557,344.582,139
129.342,342.171,131
129.062,346.327,132
128.488,344.866,137
128.623,342.3,142
125.825,348.315,175
123.508,343.767,173
125.957,346.736,171
125.805,346.345,173
123.208,347.234,177
122.424,345.962,177
125.72,348.648,169
126.117,348.272,170
125.058,348.28,165
128.437,347.383,124
130.468,348.085,126
130.29,346.849,127
131.035,348.545,128
131.496,346.961,129
129.834,344.709,130
130.839,345.02,128
130.394,345.415,129
130.178,348.838,129
130.862,346.816,129
131.003,345.054,128
130.657,346.802,127
129.947,347.382,125
129.292,347.524,130
127.872,347.232,138
127.987,348.321,137
128.186,347.674,136
129.086,347.504,135
129.174,347.838,141
126.537,348.203,149
125.771,346.442,147
125.949,346.62,130
128.706,345.595,139
133.9,348.303,124
130.277,348.401,121
130.94,344.241,134
132.997,346.915,127
